,account_id,company_size,num_users_10days,engagement_ratio,type
432,M1SAV9CNG8,2.Mid-Market,2,28.697571743929362,Customer
433,M2XIPRTT3N,2.Mid-Market,21,,Customer
434,M5HGBO06FH,2.Mid-Market,10,56.666666666666664,Customer
435,M5V2WWG84D,2.Mid-Market,12,73.52941176470588,Customer
436,M6HZ72KXSJ,2.Mid-Market,10,23.92638036809816,Customer
437,M6MG87OI0E,3.Enterprise,1,0.09652509652509653,Customer
438,M87MHXOFKC,2.Mid-Market,16,24.307205067300078,Customer
439,MBAAXA3BL1,3.Enterprise,5,3.076923076923077,Customer
440,MF4NNKM95D,3.Enterprise,8,40.266666666666666,Customer
441,MJDIMBM271,2.Mid-Market,32,94.11764705882352,Customer
442,MM4P61NHVC,2.Mid-Market,2,3.571428571428571,Customer
443,MMXIXV6CKM,2.Mid-Market,1,5.357142857142857,Customer
444,MNHIE9EDE1,2.Mid-Market,49,0.07218520203358311,Customer
445,MSYG91MMO1,3.Enterprise,5,89.47368421052632,Customer
446,MUB6LBU9W3,2.Mid-Market,35,0.12479900160798714,Customer
447,MUURMYBD2Q,2.Mid-Market,2,50.0,Customer
448,MUZUQED0GV,2.Mid-Market,7,29.03225806451613,Customer
449,MWU4CFILKJ,2.Mid-Market,1,6.306306306306306,Customer
450,MZMZ2K1KO6,2.Mid-Market,0,46.0,Customer
451,N6NBYZM242,2.Mid-Market,0,36.17021276595745,Customer
452,N6O9JD3IH6,2.Mid-Market,0,1.3986013986013985,Customer
453,N89LTAJW25,2.Mid-Market,6,47.66081871345029,Customer
454,N8LFJDTVV2,2.Mid-Market,9,41.49659863945578,Customer
455,N9DL5TGSQ7,3.Enterprise,27,0.08237479331324615,Customer
456,NAM148P0TV,2.Mid-Market,24,69.16299559471366,Customer
457,NAVYCS44PH,3.Enterprise,5,22.321428571428573,Customer
458,NF9W5N9C70,3.Enterprise,3,67.74193548387096,Customer
459,NFFYKPL3CH,2.Mid-Market,10,98.83720930232558,Customer
460,NG806W819F,2.Mid-Market,72,63.7660485021398,Customer
461,NGIXMC4SX2,2.Mid-Market,3,32.758620689655174,Customer
462,NGUCZH9IER,2.Mid-Market,4,28.57142857142857,Customer
463,NHPVRWBRBL,3.Enterprise,1,0.0013998446172474855,Customer
464,NNLO0HHGH5,2.Mid-Market,0,1.7857142857142856,Customer
465,NTCAGRP2U4,2.Mid-Market,7,20.84942084942085,Customer
466,NTJLMZ04X0,2.Mid-Market,10,69.17808219178082,Customer
467,NVV28UE1MY,2.Mid-Market,0,15.517241379310345,Customer
468,NWXUJ3AC6P,3.Enterprise,0,0.09799118079372857,Customer
469,NZ3A8V4X7Y,2.Mid-Market,2,7.373271889400922,Customer
470,NZRF5A7QY8,2.Mid-Market,1,9.865470852017937,Customer
471,O119XP9N56,2.Mid-Market,5,3.9923954372623576,Customer
472,O5URTXUYUC,3.Enterprise,12,10.502958579881657,Customer
473,O6OUZ1EGNT,2.Mid-Market,3,66.66666666666666,Customer
474,O75RH8LX6D,2.Mid-Market,39,5.970432145564822,Customer
475,OAU8P1WKIS,3.Enterprise,8,36.507936507936506,Customer
476,OB7NUGPJ60,3.Enterprise,7,24.431818181818183,Customer
477,OC1YFMHBYH,2.Mid-Market,49,82.3076923076923,Customer
478,ODLCTT058C,3.Enterprise,10,60.72507552870091,Customer
479,OEJV9LHALC,2.Mid-Market,8,54.08163265306123,Customer
480,OLNNTXRGN7,3.Enterprise,0,,Customer
481,ONJPI163YK,2.Mid-Market,10,153.33333333333334,Customer
482,OR9F5IV86Z,2.Mid-Market,16,78.2051282051282,Customer
483,OROI5J8YIT,2.Mid-Market,2,51.61290322580645,Customer
484,OW2R576VIL,2.Mid-Market,82,88.12351543942994,Customer
485,P1WZ2NAR3S,3.Enterprise,99,0.2310875212738512,Customer
486,P501NOUHTC,2.Mid-Market,0,0.8695652173913043,Customer
487,P6BEFFLZM7,2.Mid-Market,32,,Customer
488,P6MKT7S1GD,2.Mid-Market,0,1.8018018018018018,Customer
489,P767J2DG1W,3.Enterprise,1,16.535433070866144,Customer
490,P779460KHF,2.Mid-Market,0,1.1363636363636365,Customer
491,P7R93FEZEZ,3.Enterprise,0,27.84090909090909,Customer
492,P8DJKLUYLU,2.Mid-Market,6,14.349775784753364,Customer
493,P9JYQN15IK,2.Mid-Market,0,2.6785714285714284,Customer
494,P9LBSMWPQ8,3.Enterprise,0,1.7857142857142856,Customer
495,PCWE4C1V47,2.Mid-Market,6,59.50920245398773,Customer
